学校名
北海道教育大学附属札幌中学校
北海道教育大学附属函館中学校
北海道教育大学附属旭川中学校
北海道教育大学附属釧路中学校
札幌市立柏中学校
札幌市立中央中学校
札幌市立中島中学校
札幌市立啓明中学校
札幌市立向陵中学校
札幌市立伏見中学校
札幌市立宮の森中学校
札幌市立山鼻中学校
札幌市立星友館中学校
札幌市立北辰中学校
札幌市立新琴似中学校
札幌市立篠路中学校
札幌市立北陽中学校
札幌市立新琴似北中学校
札幌市立新川中学校
札幌市立光陽中学校
札幌市立太平中学校
札幌市立屯田中央中学校
札幌市立篠路西中学校
札幌市立新川西中学校
札幌市立上篠路中学校
札幌市立あいの里東中学校
札幌市立屯田北中学校
札幌市立北辰中学校ひまわり分校
札幌市立美香保中学校
札幌市立北栄中学校
札幌市立札幌中学校
札幌市立福移中学校
札幌市立東栄中学校
札幌市立明園中学校
札幌市立栄中学校
札幌市立札苗中学校
札幌市立栄南中学校
札幌市立元町中学校
札幌市立丘珠中学校
札幌市立栄町中学校
札幌市立札苗北中学校
札幌市立幌東中学校
札幌市立白石中学校
札幌市立日章中学校
札幌市立柏丘中学校
札幌市立東白石中学校
札幌市立北白石中学校
札幌市立北都中学校
札幌市立米里中学校
札幌市立八条中学校
札幌市立月寒中学校
札幌市立平岸中学校
札幌市立陵陽中学校
札幌市立羊丘中学校
札幌市立東月寒中学校
札幌市立西岡中学校
札幌市立中の島中学校
札幌市立西岡北中学校
札幌市立あやめ野中学校
札幌市立平岸中学校のぞみ分校
札幌市立藻岩中学校
札幌市立石山中学校
札幌市立定山渓中学校
札幌市立簾舞中学校
札幌市立常盤中学校
札幌市立真駒内中学校
札幌市立澄川中学校
札幌市立真駒内曙中学校
札幌市立藤野中学校
札幌市立南が丘中学校
札幌市立琴似中学校
札幌市立陵北中学校
札幌市立八軒中学校
札幌市立手稲東中学校
札幌市立発寒中学校
札幌市立西陵中学校
札幌市立西野中学校
札幌市立八軒東中学校
札幌市立宮の丘中学校
札幌市立福井野中学校
札幌市立信濃中学校
札幌市立もみじ台中学校
札幌市立もみじ台南中学校
札幌市立青葉中学校
札幌市立厚別中学校
札幌市立厚別南中学校
札幌市立上野幌中学校
札幌市立厚別北中学校
札幌市立手稲中学校
札幌市立手稲西中学校
札幌市立稲陵中学校
札幌市立前田中学校
札幌市立稲積中学校
札幌市立稲穂中学校
札幌市立新陵中学校
札幌市立前田北中学校
札幌市立星置中学校
札幌市立清田中学校
札幌市立北野中学校
札幌市立平岡中学校
札幌市立北野台中学校
札幌市立真栄中学校
札幌市立平岡中央中学校
札幌市立平岡緑中学校
函館市立青柳中学校
函館市立港中学校
函館市立巴中学校
函館市立深堀中学校
函館市立湯川中学校
函館市立戸倉中学校
函館市立旭岡中学校
函館市立鱒川中学校
函館市立銭亀沢中学校
函館市立赤川中学校
函館市立桔梗中学校
函館市立亀田中学校
函館市立五稜郭中学校
函館市立本通中学校
函館市立北中学校
函館市立潮光中学校
函館市立日新中学校
函館市立恵山中学校
函館市立椴法華中学校
函館市立尾札部中学校
函館市立臼尻中学校
小樽市立長橋中学校
小樽市立潮見台中学校
小樽市立菁園中学校
小樽市立西陵中学校
小樽市立松ヶ枝中学校
小樽市立向陽中学校
小樽市立朝里中学校
小樽市立桜町中学校
小樽市立銭函中学校
小樽市立忍路中学校
小樽市立望洋台中学校
小樽市立北陵中学校
旭川市立明星中学校
旭川市立光陽中学校
旭川市立北星中学校
旭川市立六合中学校
旭川市立北門中学校
旭川市立東光中学校
旭川市立神居中学校
旭川市立江丹別中学校
旭川市立嵐山中学校
旭川市立永山中学校
旭川市立旭川中学校
旭川市立桜岡中学校
旭川市立神楽中学校
旭川市立西神楽中学校
旭川市立啓北中学校
旭川市立東陽中学校
旭川市立緑が丘中学校
旭川市立春光台中学校
旭川市立東鷹栖中学校
旭川市立神居東中学校
旭川市立永山南中学校
旭川市立広陵中学校
旭川市立東明中学校
旭川市立愛宕中学校
旭川市立忠和中学校
旭川市立中央中学校
室蘭市立港北中学校
室蘭市立本室蘭中学校
室蘭市立東明中学校
室蘭市立星蘭中学校
室蘭市立翔陽中学校
室蘭市立桜蘭中学校
室蘭市立室蘭西中学校
釧路市立北中学校
釧路市立春採中学校
釧路市立鳥取中学校
釧路市立共栄中学校
釧路市立景雲中学校
釧路市立山花中学校
釧路市立大楽毛中学校
釧路市立桜が丘中学校
釧路市立阿寒中学校
釧路市立阿寒湖中学校
釧路市立音別中学校
釧路市立美原中学校
釧路市立鳥取西中学校
釧路市立幣舞中学校
釧路市立青陵中学校
帯広市立川西中学校
帯広市立清川中学校
帯広市立八千代中学校
帯広市立帯広第二中学校
帯広市立帯広第七中学校
帯広市立帯広第一中学校
帯広市立帯広第四中学校
帯広市立帯広第五中学校
帯広市立帯広第八中学校
帯広市立大空中学校
帯広市立南町中学校
帯広市立西陵中学校
帯広市立緑園中学校
帯広市立翔陽中学校
北見市立北光中学校
北見市立東陵中学校
北見市立南中学校
北見市立北中学校
北見市立光西中学校
北見市立上常呂中学校
北見市立相内中学校
北見市立東相内中学校
北見市立高栄中学校
北見市立小泉中学校
北見市立端野中学校
北見市立留辺蘂中学校
北見市立常呂中学校
夕張市立夕張中学校
岩見沢市立東光中学校
岩見沢市立光陵中学校
岩見沢市立緑中学校
岩見沢市立豊中学校
岩見沢市立上幌向中学校
岩見沢市立北村中学校
岩見沢市立栗沢中学校
岩見沢市立清園中学校
岩見沢市立明成中学校
網走市立第一中学校
網走市立第二中学校
網走市立呼人中学校
網走市立第三中学校
網走市立第四中学校
網走市立第五中学校
留萌市立留萌中学校
留萌市立港南中学校
苫小牧市立苫小牧東中学校
苫小牧市立勇払中学校
苫小牧市立光洋中学校
苫小牧市立啓北中学校
苫小牧市立和光中学校
苫小牧市立凌雲中学校
苫小牧市立植苗中学校
苫小牧市立沼ノ端中学校
苫小牧市立開成中学校
苫小牧市立啓北中学校山なみ分校
苫小牧市立明倫中学校
苫小牧市立啓明中学校
苫小牧市立明野中学校
苫小牧市立緑陵中学校
苫小牧市立青翔中学校
苫小牧市立ウトナイ中学校
稚内市立稚内中学校
稚内市立稚内南中学校
稚内市立稚内東中学校
稚内市立増幌中学校
稚内市立宗谷中学校
稚内市立潮見が丘中学校
稚内市立天北中学校
美唄市立美唄中学校
美唄市立南美唄中学校
美唄市立東中学校
芦別市立芦別中学校
芦別市立啓成中学校
江別市立江別第一中学校
江別市立江別第二中学校
江別市立江別第三中学校
江別市立野幌中学校
江別市立大麻中学校
江別市立大麻東中学校
江別市立江陽中学校
江別市立中央中学校
赤平市立赤平中学校
紋別市立紋別中学校
紋別市立潮見中学校
紋別市立渚滑中学校
士別市立士別中学校
士別市立士別南中学校
士別市立上士別中学校
士別市立朝日中学校
名寄市立名寄中学校
名寄市立名寄東中学校
名寄市立智恵文中学校
名寄市立風連中学校
三笠市立三笠中学校
三笠市立萱野中学校
根室市立光洋中学校
根室市立柏陵中学校
根室市立海星中学校
根室市立落石中学校
根室市立厚床中学校
根室市立啓雲中学校
千歳市立千歳中学校
千歳市立北進中学校
千歳市立青葉中学校
千歳市立東千歳中学校
千歳市立駒里中学校
千歳市立富丘中学校
千歳市立北斗中学校
千歳市立向陽台中学校
千歳市立勇舞中学校
滝川市立江陵中学校
滝川市立明苑中学校
滝川市立開西中学校
滝川市立江部乙中学校
砂川市立石山中学校
砂川市立砂川中学校
歌志内市立歌志内中学校
深川市立深川中学校
深川市立一已中学校
富良野市立富良野東中学校
富良野市立富良野西中学校
富良野市立麓郷中学校
富良野市立布部中学校
富良野市立樹海中学校
登別市立幌別中学校
登別市立鷲別中学校
登別市立登別中学校
登別市立西陵中学校
登別市立緑陽中学校
恵庭市立恵庭中学校
恵庭市立恵北中学校
恵庭市立恵明中学校
恵庭市立柏陽中学校
恵庭市立恵み野中学校
伊達市立伊達中学校
伊達市立光陵中学校
